id;card_id;business_id;timestamp;amount;declined;product_ids;user_id;lat;longitude
CDDA7E40-544D-47BB-A4ED-671DD8A950D9;CcS-6894;b-2466;2018-12-12 08:05:17;161.88;0;75, 73, 98;2313;59.62050974356148;16.559977155728436
09456357-8E9B-475A-8257-87A023699964;CcS-5135;b-2342;2024-05-20 22:49:08;171.13;0;3;554;45.76458841901318;4.843056518287656
C47C7C84-C174-4973-A76B-825A9DB5582A;CcS-8415;b-2250;2018-11-04 23:16:18;497.29;0;92, 85, 36, 23;3834;52.06849608409912;4.301099382555438
2FB526AA-3844-4DDF-AC09-2EBCC255EE76;CcS-6553;b-2610;2022-06-17 09:17:25;344.15;0;5, 27;1972;39.47598513179192;-0.3764194439184784
0D877407-B85E-40D2-9229-6BD6F2B8DF0A;CcS-7678;b-2454;2020-11-29 07:29:16;435.1;0;38, 32, 82, 62;3097;51.43656985032189;5.478525648707596
A0BD09EE-7199-41CF-9CB5-3205509FA02F;CcS-6416;b-2438;2021-05-24 22:28:26;364.11;0;92, 64;1835;51.49519189047599;18.88912480174568
29322BF7-84F4-4A6C-9FFC-C60B6BBD8DCD;CcS-5036;b-2222;2022-05-19 04:50:50;678.61;0;6, 12, 100, 22, 23;455;51.609077736775525;19.160038756363225
3F614E9B-1EEC-4FB7-8B88-ABCD6C519EED;CcS-8216;b-2526;2019-08-18 21:09:25;207.52;0;69, 97, 31;3635;33.45816749565129;-112.08289579719126
133534F1-81E5-4688-B4AF-54E516504E9E;CcS-7160;b-2614;2021-12-23 23:58:33;368.64;0;51, 3, 68;2579;60.481217507242114;18.810024018503643
185D9EC6-9540-4E4F-B38D-395B26C467AC;CcS-5819;b-2550;2019-03-23 19:42:15;57.25;0;69;1238;42.14540699947335;12.21245353636445
F080DCF5-21EE-4461-A5B6-F346F244DB6E;CcS-5956;b-2466;2019-06-16 03:39:38;613.68;0;68, 6, 73, 64;1375;45.769936487258896;4.83966031700046
AB0D4B08-F26A-41D1-9925-E819B6305A46;CcS-6872;b-2458;2016-10-09 10:40:30;333.57;0;53, 75, 74, 61;2291;41.15914776950484;-8.630768456777114
ED8865B5-E4D5-46AA-A43C-9C7460B1E16B;CcS-5783;b-2466;2017-11-28 00:18:28;149.56;0;94, 97, 8;1202;40.4214348789062;-3.8015630627075216
44CD5F49-4D07-4E8C-B87E-DE51EB730676;CcS-6410;b-2422;2015-05-29 03:12:04;568.34;0;7, 64, 16, 34;1829;46.81251919908033;-71.21595539526966
8EA91C7B-510C-47DC-8A5B-4DFE1E8D44DA;CcS-8575;b-2330;2018-06-26 17:31:05;232.07;0;100, 46, 79;3994;59.95183614209106;18.77178579987153
C44DE82C-0E04-4B40-BF29-61B8629A6A4E;CcS-6915;b-2222;2016-06-07 00:53:27;374.27;0;91, 65, 93;2334;41.93660489488131;12.121276425657255
116544E8-A709-4950-B5E4-0E7752AD65DF;CcU-4681;b-2242;2018-08-17 03:10:01;195.62;0;64;26;39.951970157637504;-75.16002913954009
BB554AF3-7E92-402C-A771-E15D69D70038;CcS-8853;b-2466;2016-10-28 19:58:56;320.06;0;91, 28, 79;4272;41.91549066871561;12.716897556236331
7132FE26-EE50-48E6-B373-9DFF7F8588EE;CcS-5324;b-2442;2024-03-11 00:26:10;3.83;0;55;743;55.35291194504507;-3.489818883158656
2BF04606-685E-4352-AF0B-9CF450ADD464;CcS-5711;b-2454;2020-01-11 06:57:03;231.0;0;92, 51, 8;1130;39.4087116587853;-8.231122402213716
4CD51F8E-2B85-45DE-B51C-039C465B5C93;CcS-7981;b-2442;2023-07-31 05:59:34;270.03;0;7, 93, 80;3400;51.67048659371886;19.433642873388276
D133A281-D600-4016-A5FA-5C2647012CCF;CcS-7151;b-2406;2022-06-03 22:10:37;172.93;0;27;2570;41.451235428321525;12.853154335325492
EA185F4E-B0D7-4147-9D2B-C280E1703C57;CcU-3442;b-2490;2020-10-01 03:00:26;103.73;0;71;203;46.80414184677386;-71.19876164864127
2C89BEA6-D2D7-4E2F-9EA5-CE3A7A4235BA;CcS-9269;b-2330;2021-07-12 11:55:48;188.85;0;24, 30, 19;4688;39.562929217288;-8.544111579026959
